epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;14.71020;1.91502;12.79518;4.87397;3.14815;0.35176;0.01000;0.01000;0.01000;0.29634;0.35703;0.07000;0.06000;0.06815;0.09284;0.24000;0.01000;0.00314;0.00229;0.45000;0.41000;0.37825;0.24359;0.10159;0.10159;0.40406;0.33921;0.17688;0.17688;0.09167;0.05424;0.00564;0.00564;0.09972;0.09100;0.02540;0.02540;0.00772;0.00197;0.00001;0.00001;0.01914;0.00162;0.00022;0.00022;63.56936;102.26069
2;21.38525;1.73938;19.64586;5.69145;3.66667;0.19821;0.01000;0.01000;0.01000;0.33593;0.45049;0.09000;0.09000;0.11368;0.16086;0.14000;0.14000;0.00826;0.01029;0.20000;0.17000;0.49053;0.25542;0.13693;0.13693;0.51150;0.41751;0.26726;0.26726;0.17234;0.08481;0.01503;0.01503;0.18235;0.14740;0.05411;0.05411;0.01370;0.00592;0.00010;0.00010;0.01235;0.00896;0.00179;0.00179;62.38625;97.99943
3;20.04030;1.69175;18.34854;5.56577;3.65926;0.25031;0.01000;0.01000;0.31000;0.34153;0.40667;0.05000;0.05000;0.10013;0.13273;0.11000;0.11000;0.00478;0.00854;0.31000;0.27000;0.49624;0.26036;0.14181;0.14181;0.51097;0.36722;0.25722;0.25722;0.15079;0.07495;0.01615;0.01615;0.17333;0.12083;0.05777;0.05777;0.01240;0.00296;0.00003;0.00003;0.16173;0.00624;0.00248;0.00248;61.13694;96.91042
4;10.43010;1.75261;8.67749;5.46097;3.54074;0.21776;0.01000;0.01000;0.55000;0.37227;0.43598;0.02000;0.02000;0.11507;0.13636;0.03000;0.01000;0.00268;0.00313;0.09000;0.01000;0.50767;0.29389;0.14264;0.14264;0.52558;0.39887;0.25355;0.25355;0.15726;0.09073;0.01326;0.01326;0.16280;0.12484;0.04467;0.04467;0.00417;0.00197;0.00001;0.00001;0.00333;0.00296;0.00053;0.00053;60.47625;97.58264
5;17.93883;1.56348;16.37535;5.22317;3.35556;0.25258;0.01000;0.01000;0.01000;0.43140;0.49766;0.02000;0.01000;0.14258;0.17939;0.08000;0.04000;0.01609;0.01988;0.12000;0.12000;0.57781;0.34418;0.21815;0.21815;0.58866;0.45688;0.34743;0.34743;0.20794;0.10848;0.02848;0.02848;0.20081;0.16783;0.08806;0.08806;0.02510;0.01183;0.00029;0.00029;0.08859;0.01847;0.00528;0.00528;59.57168;97.65018
6;10.91155;1.67007;9.24148;5.11787;3.28889;0.30497;0.01000;0.01000;0.01000;0.39284;0.44243;0.03000;0.02000;0.13466;0.16311;0.04000;0.02000;0.01183;0.01309;0.08000;0.14000;0.52562;0.31361;0.16942;0.16942;0.52774;0.40475;0.28057;0.28057;0.18305;0.10651;0.01877;0.01877;0.19088;0.15065;0.06105;0.06105;0.01775;0.00888;0.00018;0.00018;0.11815;0.01006;0.00432;0.00432;59.10747;96.16728
7;21.51680;1.65526;19.86154;4.87625;3.17037;0.27194;0.01000;0.01000;0.01000;0.44251;0.49314;0.02000;0.01000;0.16297;0.18436;0.04000;0.01000;0.01825;0.02292;0.04000;0.03000;0.59832;0.35108;0.22453;0.22453;0.58913;0.45159;0.34281;0.34281;0.24038;0.12327;0.02982;0.02982;0.21630;0.16789;0.08195;0.08195;0.02692;0.01381;0.00032;0.00032;0.02704;0.02044;0.00521;0.00521;58.73099;96.13934
8;19.32485;1.71662;17.60823;4.77183;3.18519;0.27314;0.01000;0.01000;0.01000;0.45476;0.47518;0.01000;0.01000;0.15833;0.16158;0.07000;0.07000;0.02118;0.02028;0.12000;0.12000;0.55211;0.38659;0.21777;0.21777;0.56073;0.44164;0.31081;0.31081;0.19970;0.13116;0.02212;0.02212;0.19206;0.14833;0.05446;0.05446;0.02876;0.01677;0.00041;0.00041;0.05511;0.01747;0.00533;0.00533;58.79085;96.20127
9;26.81979;1.49831;25.32148;4.93063;3.02222;0.33358;0.01000;0.01000;0.01000;0.49157;0.56660;0.01000;0.01000;0.20792;0.24120;0.03000;0.03000;0.03135;0.04088;0.07000;0.07000;0.63158;0.40237;0.27279;0.27279;0.64166;0.52964;0.42336;0.42336;0.27907;0.16568;0.04437;0.04437;0.27760;0.22469;0.11562;0.11562;0.04642;0.02367;0.00105;0.00105;0.08947;0.03832;0.01420;0.01420;57.85822;95.38915
10;10.08158;1.61150;8.47008;4.75706;3.00000;0.32172;0.01000;0.01000;0.01000;0.48203;0.50208;0.02000;0.01000;0.19370;0.19973;0.03000;0.03000;0.02888;0.02879;0.05000;0.04000;0.59883;0.40335;0.23834;0.23834;0.58785;0.46189;0.32493;0.32493;0.24365;0.16075;0.03774;0.03774;0.23183;0.18314;0.08009;0.08009;0.03704;0.02367;0.00085;0.00085;0.03378;0.02605;0.00633;0.00633;58.55675;94.85955
11;18.24252;1.47223;16.77029;5.09611;3.25926;0.36177;0.01000;0.01000;0.01000;0.49938;0.57002;0.02000;0.02000;0.20973;0.24903;0.05000;0.02000;0.03127;0.04157;0.13000;0.13000;0.66887;0.39842;0.28480;0.28480;0.68057;0.51993;0.41488;0.41488;0.29174;0.16371;0.05708;0.05708;0.28842;0.22889;0.12185;0.12185;0.05033;0.02268;0.00146;0.00146;0.06587;0.03687;0.01375;0.01375;58.95924;94.85836
12;25.90870;1.65665;24.25204;4.97624;3.14815;0.22197;0.01000;0.01000;0.01000;0.48317;0.52032;0.01000;0.01000;0.17407;0.19168;0.05000;0.01000;0.02346;0.02735;0.05000;0.05000;0.60236;0.40335;0.25991;0.25991;0.61004;0.48346;0.36392;0.36392;0.23267;0.13905;0.03209;0.03209;0.22148;0.17789;0.07565;0.07565;0.03135;0.01874;0.00063;0.00063;0.03131;0.02503;0.00872;0.00872;56.93256;94.27679
13;19.16566;1.62079;17.54487;5.29850;3.39259;0.16066;0.01000;0.01000;0.01000;0.44078;0.46478;0.01000;0.01000;0.15472;0.15988;0.04000;0.01000;0.03522;0.03528;0.04000;0.06000;0.57853;0.35602;0.19166;0.19166;0.57965;0.41985;0.28652;0.28652;0.21354;0.12130;0.02567;0.02567;0.20216;0.14430;0.06242;0.06242;0.04861;0.02761;0.00155;0.00155;0.07828;0.02910;0.00834;0.00834;56.77832;94.06925
14;7.99693;1.82144;6.17549;4.83735;3.41481;0.22887;0.01000;0.01000;0.01000;0.32772;0.28595;0.01000;0.01000;0.10885;0.09552;0.02000;0.02000;0.01484;0.01033;0.07000;0.01000;0.39887;0.27811;0.11833;0.11833;0.38419;0.24721;0.13419;0.13419;0.13830;0.08974;0.01668;0.01668;0.13776;0.08098;0.03091;0.03091;0.02350;0.01085;0.00049;0.00049;0.01791;0.00769;0.00178;0.00178;57.76837;94.18784
15;10.05822;1.58708;8.47113;4.65475;2.83704;0.35333;0.01000;0.01000;0.01000;0.48614;0.53128;0.02000;0.02000;0.19498;0.21239;0.01000;0.01000;0.02509;0.02422;0.07000;0.07000;0.60499;0.40631;0.26586;0.26586;0.61121;0.49333;0.36343;0.36343;0.23891;0.16469;0.04597;0.04597;0.23507;0.20033;0.08645;0.08645;0.03448;0.01972;0.00102;0.00102;0.03653;0.02167;0.00811;0.00811;57.66525;93.82819
16;23.28814;1.44472;21.84342;4.59226;2.79259;0.47228;0.01000;0.01000;0.01000;0.52675;0.59289;0.01000;0.01000;0.22567;0.27222;0.04000;0.01000;0.03057;0.03514;0.01000;0.01000;0.65211;0.44181;0.33369;0.33369;0.66127;0.56274;0.45696;0.45696;0.28593;0.18639;0.05953;0.05953;0.29502;0.26055;0.12502;0.12502;0.03785;0.02564;0.00136;0.00136;0.03735;0.03350;0.01029;0.01029;57.67696;93.95729
17;15.79591;1.49283;14.30308;4.59791;2.75556;0.46114;0.01000;0.01000;0.01000;0.51896;0.56593;0.03000;0.02000;0.23373;0.25481;0.06000;0.05000;0.03346;0.04023;0.16000;0.16000;0.64985;0.43195;0.28756;0.28756;0.63979;0.53059;0.39089;0.39089;0.30031;0.19132;0.05576;0.05576;0.28472;0.23960;0.10531;0.10531;0.04815;0.02564;0.00162;0.00162;0.05377;0.03670;0.01247;0.01247;57.26437;93.73184
18;9.62808;1.76734;7.86074;4.62681;2.96296;0.54702;0.01000;0.01000;0.04000;0.40952;0.36729;0.01000;0.02000;0.12743;0.10029;0.04000;0.03000;0.01868;0.01196;0.13000;0.04000;0.51652;0.33925;0.21004;0.21004;0.47448;0.31787;0.19857;0.19857;0.16562;0.10355;0.03596;0.03596;0.14135;0.08131;0.03479;0.03479;0.03439;0.01282;0.00306;0.00306;0.01850;0.00909;0.00460;0.00460;56.90091;93.24995
