epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.33179;8.91311;7.59398;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;16.59565;23.62137
2;10.17455;8.91311;7.59398;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;16.75834;20.34617
3;6.88729;6.95096;5.20301;0.00918;0.11000;0.11000;0.03000;0.01890;0.01419;0.09000;0.12000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.02011;0.01782;0.00044;0.00044;0.30884;0.01134;0.00599;0.00599;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;17.45446;18.97393
4;3.48562;4.98268;3.60902;0.13538;0.18000;0.19000;0.15000;0.39678;0.38716;0.17000;0.16000;0.06357;0.05624;0.18000;0.17000;0.00348;0.00283;0.20000;0.20000;0.38022;0.41485;0.24932;0.24932;0.36744;0.47358;0.31107;0.31107;0.06481;0.06238;0.00671;0.00671;0.06330;0.06289;0.02001;0.02001;0.00420;0.00297;0.00001;0.00001;0.03362;0.00245;0.00015;0.00015;18.26341;18.59983
5;2.41956;3.69515;2.67669;0.46217;0.28000;0.28000;0.26000;0.60458;0.63569;0.31000;0.31000;0.22459;0.26235;0.31000;0.31000;0.02085;0.02757;0.36000;0.36000;0.65362;0.56238;0.51829;0.51829;0.68481;0.65508;0.63512;0.63512;0.24281;0.20891;0.08776;0.08776;0.27465;0.28022;0.16699;0.16699;0.02738;0.01683;0.00101;0.00101;0.07396;0.02776;0.00994;0.00994;18.49153;18.86612
6;2.63961;2.88762;2.20301;0.68950;0.24000;0.24000;0.24000;0.49262;0.51234;0.22000;0.22000;0.14503;0.16642;0.23000;0.23000;0.00832;0.00817;0.24000;0.24000;0.46114;0.52871;0.35185;0.35185;0.51497;0.54863;0.42707;0.42707;0.14355;0.14653;0.02916;0.02916;0.19528;0.16364;0.06421;0.06421;0.00876;0.00792;0.00015;0.00015;0.02474;0.00724;0.00215;0.00215;16.82478;21.03544
7;2.18044;2.98996;2.15789;0.63380;0.30000;0.32000;0.29000;0.52351;0.58353;0.28000;0.28000;0.16546;0.21560;0.28000;0.28000;0.01668;0.02645;0.34000;0.28000;0.48170;0.57327;0.39113;0.39113;0.56368;0.64835;0.51834;0.51834;0.15225;0.18119;0.04490;0.04490;0.20415;0.24439;0.10360;0.10360;0.01901;0.01485;0.00040;0.00040;0.02517;0.02911;0.00455;0.00455;20.43725;17.25187
8;1.87505;2.69502;1.93985;0.66652;0.32000;0.32000;0.32000;0.69466;0.71950;0.32000;0.32000;0.31719;0.36643;0.32000;0.35000;0.03783;0.04197;0.40000;0.37000;0.69329;0.69604;0.65229;0.65229;0.73023;0.75266;0.73408;0.73408;0.31657;0.31782;0.15235;0.15235;0.39509;0.36148;0.24037;0.24037;0.04928;0.03069;0.00272;0.00272;0.04629;0.04002;0.01754;0.01754;21.04246;18.95015
9;1.96496;3.83788;2.54887;0.46023;0.32000;0.30000;0.26000;0.61139;0.66466;0.29000;0.30000;0.26818;0.33125;0.35000;0.32000;0.03378;0.04625;0.36000;0.36000;0.57441;0.65347;0.54640;0.54640;0.67775;0.71300;0.67841;0.67841;0.31467;0.23366;0.11712;0.11712;0.34623;0.34133;0.21417;0.21417;0.04102;0.02871;0.00302;0.00302;0.05677;0.04100;0.01717;0.01717;20.96626;17.61172
10;1.60516;2.51312;1.63910;0.72078;0.27000;0.27000;0.27000;0.73178;0.78072;0.27000;0.27000;0.45444;0.54849;0.32000;0.29000;0.09692;0.12631;0.36000;0.36000;0.74845;0.71584;0.71126;0.71126;0.79214;0.80223;0.79926;0.79926;0.54420;0.39010;0.31438;0.31438;0.55975;0.55874;0.44974;0.44974;0.13299;0.07624;0.02002;0.02002;0.15049;0.11348;0.05734;0.05734;21.39345;18.84159
11;1.68881;3.74367;2.39098;0.47073;0.28000;0.28000;0.20000;0.68872;0.74458;0.30000;0.30000;0.41050;0.48062;0.37000;0.32000;0.07056;0.08678;0.39000;0.38000;0.69746;0.68020;0.64996;0.64996;0.75498;0.79839;0.77323;0.77323;0.49929;0.34851;0.27442;0.27442;0.49116;0.50340;0.39866;0.39866;0.09148;0.05743;0.00947;0.00947;0.09419;0.08407;0.03773;0.03773;20.85915;17.48681
12;1.77622;4.40608;2.91729;0.35785;0.25000;0.26000;0.12000;0.64155;0.69883;0.30000;0.30000;0.37988;0.43185;0.31000;0.33000;0.04601;0.05151;0.40000;0.40000;0.72830;0.57327;0.59594;0.59594;0.74406;0.71698;0.72537;0.72537;0.44269;0.33267;0.23241;0.23241;0.46955;0.43258;0.34988;0.34988;0.07265;0.03366;0.00335;0.00335;0.11582;0.04678;0.02186;0.02186;21.97127;18.26751
13;1.49170;2.40457;1.45113;0.73853;0.23000;0.23000;0.23000;0.71640;0.77875;0.27000;0.27000;0.46951;0.54598;0.28000;0.28000;0.09750;0.11933;0.38000;0.27000;0.76932;0.67030;0.68047;0.68047;0.81463;0.77608;0.78798;0.78798;0.51601;0.43069;0.31973;0.31973;0.57656;0.53805;0.43404;0.43404;0.14567;0.07327;0.01520;0.01520;0.12491;0.11625;0.04693;0.04693;21.81088;19.19703
14;1.60899;2.77068;1.72180;0.65145;0.28000;0.28000;0.31000;0.72886;0.76584;0.30000;0.27000;0.38643;0.45848;0.33000;0.31000;0.05805;0.07043;0.35000;0.34000;0.75558;0.70396;0.70826;0.70826;0.76522;0.80660;0.78947;0.78947;0.43207;0.34950;0.22845;0.22845;0.48603;0.45448;0.33370;0.33370;0.06827;0.05050;0.00611;0.00611;0.08130;0.06578;0.02110;0.02110;19.33641;20.06308
15;1.60390;3.34821;1.99248;0.51360;0.35000;0.35000;0.34000;0.71122;0.75541;0.37000;0.35000;0.40000;0.44628;0.37000;0.37000;0.06800;0.07819;0.36000;0.36000;0.73368;0.69010;0.69331;0.69331;0.74995;0.80397;0.78283;0.78283;0.41263;0.38812;0.23309;0.23309;0.45465;0.45829;0.31224;0.31224;0.06869;0.06733;0.00917;0.00917;0.07927;0.07869;0.02736;0.02736;19.12044;19.73846
16;1.48421;2.58393;1.62406;0.70138;0.33000;0.32000;0.27000;0.72791;0.77279;0.33000;0.33000;0.44957;0.52602;0.37000;0.37000;0.10290;0.12284;0.49000;0.43000;0.73829;0.71782;0.71398;0.71398;0.78105;0.79911;0.79880;0.79880;0.49063;0.41485;0.30831;0.30831;0.55056;0.52617;0.42509;0.42509;0.15415;0.07723;0.01794;0.01794;0.13432;0.11590;0.05269;0.05269;20.87369;18.54703
