cloud_name,split
50-27-0_0-20220524T041419.pcd,train
50-27-0_0-20220525T030449.pcd,train
50-27-0_0-20220527T045102.pcd,test
50-27-0_0-20220530T074538.pcd,train
50-27-0_0-20220531T042054.pcd,val
50-27-0_0-20220601T033109.pcd,train
50-27-0_0-20220602T052138.pcd,train
50-27-0_1-20220523T042520.pcd,val
50-27-0_1-20220524T041419.pcd,train
50-27-0_1-20220525T030449.pcd,test
50-27-0_1-20220527T045102.pcd,train
50-27-0_1-20220530T074538.pcd,val
50-27-0_1-20220531T042054.pcd,train
50-27-0_1-20220601T033109.pcd,test
50-27-0_1-20220602T052138.pcd,train
50-27-0_10-20220523T042520.pcd,train
50-27-0_10-20220524T041419.pcd,train
50-27-0_10-20220525T030449.pcd,train
50-27-0_10-20220527T045102.pcd,test
50-27-0_10-20220530T074538.pcd,val
50-27-0_10-20220531T042054.pcd,test
50-27-0_10-20220601T033109.pcd,val
50-27-0_10-20220602T052138.pcd,train
50-27-0_11-20220524T041419.pcd,train
50-27-0_11-20220525T030449.pcd,train
50-27-0_11-20220527T045102.pcd,train
50-27-0_11-20220531T042054.pcd,test
50-27-0_11-20220601T033109.pcd,train
50-27-0_11-20220602T052138.pcd,train
50-27-0_2-20220530T074538.pcd,val
50-27-0_2-20220531T042054.pcd,train
50-27-0_2-20220601T033109.pcd,val
50-27-0_3-20220523T042520.pcd,train
50-27-0_3-20220524T041419.pcd,train
50-27-0_3-20220525T030449.pcd,test
50-27-0_3-20220527T045102.pcd,train
50-27-0_3-20220530T074538.pcd,train
50-27-0_3-20220531T042054.pcd,test
50-27-0_3-20220601T033109.pcd,val
50-27-0_3-20220602T052138.pcd,train
50-27-0_4-20220523T042520.pcd,train
50-27-0_4-20220524T041419.pcd,test
50-27-0_4-20220525T030449.pcd,train
50-27-0_4-20220527T045102.pcd,train
50-27-0_4-20220530T074538.pcd,val
50-27-0_4-20220531T042054.pcd,val
50-27-0_4-20220601T033109.pcd,train
50-27-0_4-20220602T052138.pcd,train
50-27-0_5-20220524T041419.pcd,test
50-27-0_5-20220525T030449.pcd,train
50-27-0_5-20220527T045102.pcd,train
50-27-0_5-20220530T074538.pcd,val
50-27-0_5-20220601T033109.pcd,test
50-27-0_5-20220602T052138.pcd,train
50-27-0_6-20220523T042520.pcd,train
50-27-0_6-20220524T041419.pcd,test
50-27-0_6-20220525T030449.pcd,val
50-27-0_6-20220527T045102.pcd,train
50-27-0_6-20220530T074538.pcd,train
50-27-0_6-20220531T042054.pcd,train
50-27-0_6-20220601T033109.pcd,train
50-27-0_6-20220602T052138.pcd,train
50-27-0_7-20220523T042520.pcd,train
50-27-0_7-20220524T041419.pcd,test
50-27-0_7-20220525T030449.pcd,val
50-27-0_7-20220527T045102.pcd,train
50-27-0_7-20220530T074538.pcd,val
50-27-0_7-20220531T042054.pcd,train
50-27-0_7-20220601T033109.pcd,train
50-27-0_7-20220602T052138.pcd,test
50-27-0_8-20220523T042520.pcd,test
50-27-0_8-20220524T041419.pcd,train
50-27-0_8-20220525T030449.pcd,train
50-27-0_8-20220527T045102.pcd,val
50-27-0_8-20220530T074538.pcd,train
50-27-0_8-20220531T042054.pcd,val
50-27-0_8-20220601T033109.pcd,train
50-27-1_1-20220523T042520.pcd,test
50-27-1_1-20220524T041419.pcd,train
50-27-1_1-20220525T030449.pcd,train
50-27-1_1-20220527T045102.pcd,train
50-27-1_1-20220530T074538.pcd,test
50-27-1_1-20220531T042054.pcd,val
50-27-1_1-20220601T033109.pcd,train
50-27-1_1-20220602T052138.pcd,train
50-27-1_10-20220523T042520.pcd,test
50-27-1_10-20220524T041419.pcd,val
50-27-1_10-20220525T030449.pcd,train
50-27-1_10-20220527T045102.pcd,train
50-27-1_10-20220530T074538.pcd,train
50-27-1_10-20220531T042054.pcd,train
50-27-1_10-20220601T033109.pcd,val
50-27-1_10-20220602T052138.pcd,test
50-27-1_11-20220527T045102.pcd,train
