epoch;loss;loss_point;loss_roi;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;13.94110;2.07639;11.86471;4.70881;3.09023;0.26519;0.01000;0.01000;0.01000;0.30364;0.36760;0.14000;0.17000;0.03917;0.04835;0.17000;0.16000;0.00163;0.00215;0.49000;0.49000;0.39032;0.24846;0.10266;0.10266;0.43625;0.33453;0.18471;0.18471;0.05090;0.03183;0.00204;0.00204;0.05558;0.04413;0.00982;0.00982;0.00395;0.00103;0.00000;0.00000;0.03383;0.00150;0.00005;0.00005;61.63556;99.44440
2;15.04253;1.74700;13.29553;5.10565;3.30075;0.20361;0.01000;0.01000;0.09000;0.38706;0.46104;0.01000;0.08000;0.11666;0.15804;0.05000;0.01000;0.00619;0.00992;0.26000;0.25000;0.52364;0.30698;0.16534;0.16534;0.54060;0.42703;0.26970;0.26970;0.15817;0.09240;0.01584;0.01584;0.17608;0.14866;0.05215;0.05215;0.01254;0.00411;0.00019;0.00019;0.04261;0.00859;0.00522;0.00522;60.28950;95.47070
3;12.59860;1.77883;10.81977;4.38041;2.70677;0.37083;0.01000;0.01000;0.01000;0.41187;0.43919;0.04000;0.01000;0.11432;0.12645;0.09000;0.09000;0.00632;0.00726;0.13000;0.12000;0.50222;0.34908;0.17161;0.17161;0.50055;0.41100;0.23238;0.23238;0.14242;0.09548;0.01508;0.01508;0.13900;0.12047;0.03661;0.03661;0.00822;0.00513;0.00010;0.00010;0.00789;0.00678;0.00197;0.00197;60.87103;94.82107
4;24.77660;1.66380;23.11281;4.49728;2.81203;0.40932;0.01000;0.01000;0.01000;0.45186;0.49696;0.05000;0.01000;0.15148;0.17868;0.05000;0.05000;0.00410;0.00440;0.11000;0.08000;0.60274;0.36140;0.21594;0.21594;0.57095;0.46255;0.32517;0.32517;0.20205;0.12115;0.02397;0.02397;0.20379;0.16519;0.06945;0.06945;0.00611;0.00308;0.00002;0.00002;0.02782;0.00389;0.00078;0.00078;58.48300;95.01604
5;27.01614;1.53823;25.47791;5.40468;3.49624;0.15781;0.01000;0.01000;0.01000;0.43071;0.54430;0.05000;0.01000;0.19565;0.26159;0.05000;0.04000;0.01806;0.02536;0.20000;0.20000;0.63655;0.32546;0.24545;0.24545;0.63659;0.49824;0.39403;0.39403;0.28916;0.14784;0.05484;0.05484;0.28534;0.24768;0.13484;0.13484;0.04508;0.01129;0.00067;0.00067;0.22807;0.01981;0.01116;0.01116;59.50965;94.93570
6;11.24443;1.63346;9.61097;4.58176;2.82707;0.32128;0.01000;0.01000;0.01000;0.50370;0.55376;0.01000;0.01000;0.17843;0.20563;0.04000;0.02000;0.02090;0.02083;0.05000;0.05000;0.63158;0.41889;0.25385;0.25385;0.63585;0.51707;0.37894;0.37894;0.23801;0.14271;0.03329;0.03329;0.22734;0.19584;0.08791;0.08791;0.02873;0.01643;0.00056;0.00056;0.06304;0.01825;0.00571;0.00571;57.74355;94.20019
7;21.62772;1.42657;20.20115;4.71520;2.95489;0.36683;0.01000;0.01000;0.01000;0.49715;0.58790;0.01000;0.01000;0.24983;0.30167;0.07000;0.06000;0.03763;0.04337;0.12000;0.12000;0.64745;0.40349;0.28905;0.28905;0.67164;0.54685;0.45186;0.45186;0.36117;0.19097;0.06915;0.06915;0.35757;0.28011;0.16568;0.16568;0.05857;0.02772;0.00157;0.00157;0.12794;0.03864;0.01534;0.01534;58.68517;93.74458
8;9.20320;1.51936;7.68384;4.58504;2.93233;0.40959;0.01000;0.01000;0.01000;0.50911;0.57225;0.02000;0.02000;0.22065;0.26439;0.05000;0.05000;0.02971;0.03418;0.11000;0.03000;0.65640;0.41581;0.26853;0.26853;0.66975;0.52579;0.41285;0.41285;0.29402;0.17659;0.05350;0.05350;0.30453;0.24259;0.12981;0.12981;0.04339;0.02259;0.00102;0.00102;0.03779;0.03171;0.00991;0.00991;58.41928;94.72861
9;10.82217;1.54146;9.28071;4.71998;2.86466;0.26026;0.01000;0.01000;0.01000;0.49626;0.57835;0.02000;0.01000;0.22713;0.28863;0.04000;0.04000;0.03425;0.04330;0.10000;0.12000;0.63175;0.40862;0.28863;0.28863;0.64484;0.54704;0.41836;0.41836;0.29460;0.18480;0.07549;0.07549;0.30965;0.27633;0.15404;0.15404;0.05144;0.02567;0.00309;0.00309;0.08258;0.03843;0.01598;0.01598;58.05045;93.58484
10;1.52527;1.44929;0.07598;4.84729;3.03008;0.31721;0.01000;0.01000;0.01000;0.51178;0.60051;0.01000;0.01000;0.25557;0.31442;0.04000;0.01000;0.04342;0.04778;0.10000;0.10000;0.67337;0.41273;0.31388;0.31388;0.69044;0.55639;0.45733;0.45733;0.35326;0.20021;0.07884;0.07884;0.34876;0.29482;0.17552;0.17552;0.06828;0.03183;0.00309;0.00309;0.13571;0.04090;0.01962;0.01962;56.50364;93.75275
11;16.67636;1.52449;15.15186;4.24353;2.56391;0.45206;0.01000;0.01000;0.01000;0.53074;0.56769;0.03000;0.01000;0.23522;0.26153;0.08000;0.04000;0.02939;0.02802;0.04000;0.02000;0.65172;0.44764;0.30427;0.30427;0.64243;0.53128;0.40763;0.40763;0.30357;0.19199;0.06504;0.06504;0.29250;0.24536;0.12828;0.12828;0.03642;0.02464;0.00120;0.00120;0.03276;0.02539;0.00812;0.00812;56.75769;93.85256
12;23.21374;1.52804;21.68570;4.26562;2.67669;0.39297;0.01000;0.01000;0.01000;0.48733;0.54915;0.02000;0.01000;0.22589;0.25293;0.06000;0.03000;0.03100;0.03332;0.10000;0.10000;0.59064;0.41478;0.26895;0.26895;0.61406;0.51973;0.38312;0.38312;0.29568;0.18275;0.06098;0.06098;0.28521;0.23593;0.11861;0.11861;0.04510;0.02361;0.00260;0.00260;0.08133;0.02812;0.01154;0.01154;56.78460;92.61402
13;8.89044;1.38657;7.50387;4.69122;2.80451;0.31917;0.01000;0.01000;0.01000;0.56036;0.64811;0.02000;0.01000;0.30872;0.37792;0.05000;0.03000;0.08276;0.09992;0.08000;0.08000;0.73500;0.45277;0.36592;0.36592;0.72165;0.61126;0.52811;0.52811;0.43856;0.23819;0.11408;0.11408;0.42561;0.35973;0.23903;0.23903;0.12605;0.06160;0.00813;0.00813;0.16044;0.09125;0.04070;0.04070;57.35877;92.48091
14;8.76662;1.42619;7.34043;4.43669;2.60150;0.35179;0.01000;0.01000;0.01000;0.55134;0.61116;0.05000;0.01000;0.25891;0.30838;0.06000;0.01000;0.04762;0.05445;0.31000;0.11000;0.69984;0.45483;0.34519;0.34519;0.67970;0.57628;0.45686;0.45686;0.33120;0.21253;0.08326;0.08326;0.33142;0.29441;0.15791;0.15791;0.08010;0.03388;0.00299;0.00299;0.08416;0.05002;0.01796;0.01796;57.94158;92.19246
15;14.95369;1.40482;13.54888;4.30247;2.52632;0.38687;0.01000;0.01000;0.01000;0.56669;0.63431;0.06000;0.02000;0.28273;0.32611;0.06000;0.06000;0.05416;0.05704;0.17000;0.15000;0.70597;0.47331;0.37674;0.37674;0.69746;0.60262;0.49868;0.49868;0.35222;0.23614;0.10272;0.10272;0.35324;0.30927;0.17962;0.17962;0.07279;0.04312;0.00471;0.00471;0.07948;0.05232;0.02313;0.02313;57.69360;92.03891
16;13.87613;1.71455;12.16157;4.48137;3.10526;0.25515;0.01000;0.01000;0.01000;0.40983;0.40316;0.01000;0.01000;0.16466;0.15524;0.04000;0.04000;0.01510;0.01180;0.08000;0.08000;0.49209;0.35113;0.20389;0.20389;0.49937;0.36436;0.24195;0.24195;0.21488;0.13347;0.03113;0.03113;0.21531;0.13095;0.05153;0.05153;0.02277;0.01129;0.00055;0.00055;0.02644;0.00878;0.00375;0.00375;56.03631;92.69416
17;17.25294;1.42676;15.82618;4.56449;2.66917;0.35595;0.01000;0.01000;0.01000;0.56347;0.64191;0.01000;0.01000;0.29315;0.35288;0.04000;0.02000;0.06662;0.07896;0.21000;0.21000;0.70983;0.46715;0.37227;0.37227;0.71805;0.60572;0.50773;0.50773;0.38372;0.23717;0.11129;0.11129;0.38020;0.33740;0.20613;0.20613;0.12680;0.04517;0.00680;0.00680;0.22433;0.06468;0.03106;0.03106;56.23972;92.52998
