epoch;loss;rmse;mae;rsq;rmse_score;mae_score;rsq_score;fscore_sum_0.3;fscore_avg_0.3;fscore_sum_0.3_score;fscore_avg_0.3_score;fscore_sum_0.5;fscore_avg_0.5;fscore_sum_0.5_score;fscore_avg_0.5_score;fscore_sum_0.7;fscore_avg_0.7;fscore_sum_0.7_score;fscore_avg_0.7_score;precis_sum_0.3;recall_sum_0.3;ap_sum_0.3;apBAD_sum_0.3;precis_avg_0.3;recall_avg_0.3;ap_avg_0.3;apBAD_avg_0.3;precis_sum_0.5;recall_sum_0.5;ap_sum_0.5;apBAD_sum_0.5;precis_avg_0.5;recall_avg_0.5;ap_avg_0.5;apBAD_avg_0.5;precis_sum_0.7;recall_sum_0.7;ap_sum_0.7;apBAD_sum_0.7;precis_avg_0.7;recall_avg_0.7;ap_avg_0.7;apBAD_avg_0.7;eval_time;epoch_time
1;10.45125;8.47692;7.17164;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;16.82018;23.55370
2;10.26853;8.47692;7.17164;0.00000;0.01000;0.01000;0.00000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;0.00000;0.00000;0.01000;0.01000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;17.37818;20.31606
3;6.58359;7.54489;5.67164;0.10330;0.13000;0.15000;0.15000;0.06004;0.04926;0.12000;0.15000;0.00125;0.00093;0.12000;0.12000;0.00000;0.00000;0.01000;0.01000;0.07524;0.04995;0.00632;0.00632;0.42963;0.04387;0.03429;0.03429;0.00157;0.00104;0.00000;0.00000;0.26202;0.00107;0.00028;0.00028;0.00000;0.00000;0.00000;0.00000;0.01493;0.00000;0.00000;0.00000;17.41036;19.22343
4;3.69460;5.12821;3.67164;0.11182;0.19000;0.19000;0.16000;0.34829;0.35080;0.21000;0.19000;0.06139;0.06483;0.21000;0.18000;0.00196;0.00249;0.39000;0.27000;0.40246;0.30697;0.20823;0.20823;0.44044;0.38832;0.29600;0.29600;0.07094;0.05411;0.00945;0.00945;0.11674;0.07925;0.03462;0.03462;0.01695;0.00104;0.00002;0.00002;0.17164;0.00149;0.00100;0.00100;16.95488;19.68773
5;2.47526;2.65982;1.91791;0.67964;0.20000;0.22000;0.20000;0.59757;0.65658;0.21000;0.21000;0.21378;0.25207;0.20000;0.20000;0.01049;0.01347;0.29000;0.24000;0.60753;0.58793;0.48844;0.48844;0.67827;0.67432;0.63458;0.63458;0.20829;0.21956;0.06562;0.06562;0.25060;0.26922;0.13641;0.13641;0.01877;0.00728;0.00029;0.00029;0.02512;0.01193;0.00435;0.00435;16.63033;20.35018
6;2.15030;2.28558;1.59701;0.76920;0.25000;0.25000;0.21000;0.62408;0.67414;0.25000;0.25000;0.24084;0.30495;0.25000;0.22000;0.02241;0.03454;0.23000;0.23000;0.62803;0.62019;0.49910;0.49910;0.69358;0.69273;0.65491;0.65491;0.24236;0.23933;0.08291;0.08291;0.28535;0.35316;0.18621;0.18621;0.02106;0.02393;0.00069;0.00069;0.03245;0.03800;0.00833;0.00833;17.67698;20.72021
7;2.07221;3.18227;2.18657;0.56950;0.25000;0.23000;0.20000;0.66995;0.71907;0.26000;0.26000;0.30769;0.37716;0.25000;0.25000;0.02800;0.03774;0.28000;0.28000;0.70670;0.63684;0.60906;0.60906;0.75798;0.73884;0.73957;0.73957;0.31385;0.30177;0.13629;0.13629;0.38658;0.39633;0.24404;0.24404;0.03187;0.02497;0.00193;0.00193;0.04678;0.03909;0.00868;0.00868;17.53706;20.77274
8;1.81592;2.49178;1.71642;0.72165;0.31000;0.32000;0.29000;0.69184;0.74518;0.31000;0.31000;0.32745;0.40626;0.33000;0.33000;0.03317;0.05091;0.33000;0.33000;0.67868;0.70552;0.62675;0.62675;0.73578;0.79840;0.75818;0.75818;0.33700;0.31842;0.14003;0.14003;0.41612;0.41606;0.26411;0.26411;0.03414;0.03226;0.00138;0.00138;0.05225;0.05189;0.01309;0.01309;17.95985;19.23073
9;1.97007;2.27576;1.53731;0.81031;0.38000;0.38000;0.35000;0.60156;0.69499;0.35000;0.35000;0.20508;0.27135;0.35000;0.36000;0.02546;0.04066;0.41000;0.41000;0.56670;0.64100;0.46557;0.46557;0.67919;0.74429;0.66105;0.66105;0.19319;0.21852;0.05964;0.05964;0.27429;0.27893;0.15282;0.15282;0.02719;0.02393;0.00079;0.00079;0.05470;0.03709;0.01113;0.01113;18.05831;19.84363
10;1.58883;1.97560;1.33582;0.84280;0.27000;0.27000;0.26000;0.74480;0.80644;0.27000;0.25000;0.43876;0.55921;0.29000;0.29000;0.08128;0.11175;0.32000;0.32000;0.72673;0.76379;0.68432;0.68432;0.77354;0.87199;0.81667;0.81667;0.44929;0.42872;0.24548;0.24548;0.58303;0.55934;0.43358;0.43358;0.09033;0.07388;0.00974;0.00974;0.12026;0.10737;0.04270;0.04270;18.59060;21.19320
11;1.76891;3.52285;2.05224;0.47450;0.24000;0.25000;0.20000;0.71476;0.77343;0.27000;0.27000;0.38291;0.47131;0.27000;0.27000;0.04248;0.05626;0.31000;0.31000;0.76576;0.67014;0.65589;0.65589;0.80283;0.79566;0.78686;0.78686;0.41023;0.35900;0.19349;0.19349;0.47784;0.48938;0.33240;0.33240;0.05095;0.03642;0.00289;0.00289;0.06299;0.05218;0.01701;0.01701;18.20721;20.39551
12;1.62033;2.02963;1.20896;0.80178;0.28000;0.28000;0.28000;0.74790;0.80951;0.28000;0.28000;0.42327;0.52124;0.27000;0.27000;0.06413;0.09127;0.35000;0.30000;0.75504;0.74089;0.69210;0.69210;0.81216;0.83158;0.81659;0.81659;0.41896;0.42768;0.24226;0.24226;0.51975;0.53410;0.38036;0.38036;0.07659;0.05515;0.00560;0.00560;0.09592;0.08825;0.02798;0.02798;16.60111;19.12401
13;1.59284;1.86083;1.19403;0.84170;0.29000;0.29000;0.29000;0.75945;0.80569;0.29000;0.28000;0.45054;0.54385;0.30000;0.29000;0.08613;0.09856;0.29000;0.26000;0.76670;0.75234;0.75114;0.75114;0.81708;0.82097;0.83538;0.83538;0.46607;0.43600;0.27700;0.27700;0.56532;0.53910;0.42906;0.42906;0.08696;0.08533;0.00983;0.00983;0.09857;0.10006;0.03310;0.03310;18.20237;18.95601
14;1.49555;1.96613;1.20896;0.82714;0.29000;0.29000;0.25000;0.75828;0.81145;0.32000;0.27000;0.45348;0.53761;0.31000;0.27000;0.06196;0.07404;0.28000;0.28000;0.79318;0.72633;0.73672;0.73672;0.79641;0.85333;0.83394;0.83394;0.46645;0.44121;0.28598;0.28598;0.53131;0.55788;0.41143;0.41143;0.06052;0.06348;0.00459;0.00459;0.07548;0.07410;0.02068;0.02068;19.14403;19.40757
15;1.67668;1.83458;1.11940;0.84214;0.35000;0.34000;0.35000;0.72576;0.78402;0.34000;0.32000;0.39103;0.45572;0.34000;0.32000;0.08548;0.10236;0.41000;0.41000;0.72727;0.72425;0.69642;0.69642;0.77764;0.81271;0.78567;0.78567;0.39185;0.39022;0.21284;0.21284;0.45572;0.46791;0.30851;0.30851;0.09772;0.07596;0.01142;0.01142;0.12043;0.09236;0.03494;0.03494;21.00683;19.98868
16;1.42972;2.01857;1.16418;0.80182;0.27000;0.27000;0.27000;0.77054;0.82811;0.29000;0.29000;0.51807;0.63676;0.32000;0.29000;0.10390;0.13464;0.33000;0.29000;0.78510;0.75650;0.73050;0.73050;0.83846;0.84647;0.83109;0.83109;0.55609;0.48491;0.37056;0.37056;0.64197;0.65019;0.53378;0.53378;0.11358;0.09573;0.01379;0.01379;0.13769;0.13339;0.04277;0.04277;20.48722;18.45059
17;1.35180;1.71690;0.96269;0.85832;0.32000;0.32000;0.32000;0.79979;0.86051;0.34000;0.32000;0.50271;0.62706;0.37000;0.37000;0.14435;0.21518;0.38000;0.38000;0.80570;0.79396;0.77806;0.77806;0.85638;0.87970;0.87383;0.87383;0.52429;0.48283;0.34577;0.34577;0.64962;0.61535;0.51470;0.51470;0.15340;0.13632;0.03427;0.03427;0.22784;0.20701;0.09520;0.09520;21.68249;19.71697
18;1.59018;1.60456;1.05224;0.87520;0.24000;0.24000;0.24000;0.74561;0.79802;0.27000;0.24000;0.44627;0.53029;0.27000;0.21000;0.07785;0.09434;0.27000;0.27000;0.78795;0.70760;0.70627;0.70627;0.80736;0.80926;0.80734;0.80734;0.47161;0.42352;0.26490;0.26490;0.52404;0.54786;0.39328;0.39328;0.08227;0.07388;0.00878;0.00878;0.09747;0.09297;0.02995;0.02995;18.75350;19.82737
19;1.38974;1.63452;0.97015;0.87456;0.39000;0.39000;0.40000;0.79873;0.84737;0.40000;0.40000;0.52259;0.61317;0.42000;0.42000;0.13219;0.17720;0.46000;0.38000;0.81562;0.78252;0.78246;0.78246;0.86176;0.85039;0.85276;0.85276;0.54795;0.49948;0.37407;0.37407;0.63702;0.60121;0.49681;0.49681;0.14610;0.12071;0.02152;0.02152;0.18037;0.17727;0.06245;0.06245;21.83510;18.07699
20;1.48672;2.13535;1.15672;0.78896;0.28000;0.28000;0.23000;0.74211;0.81331;0.33000;0.28000;0.47669;0.55804;0.39000;0.37000;0.11162;0.12962;0.47000;0.31000;0.77765;0.70968;0.70534;0.70534;0.80407;0.84613;0.81335;0.81335;0.54172;0.42560;0.31112;0.31112;0.58177;0.54813;0.43076;0.43076;0.14828;0.08949;0.01888;0.01888;0.13266;0.12790;0.04705;0.04705;21.27205;17.89073
21;1.45663;3.34575;1.73134;0.48076;0.17000;0.17000;0.17000;0.76455;0.82049;0.18000;0.19000;0.50465;0.58910;0.23000;0.21000;0.12411;0.14822;0.24000;0.24000;0.77061;0.75858;0.75550;0.75550;0.83257;0.84821;0.85507;0.85507;0.57181;0.45161;0.34740;0.34740;0.61371;0.58301;0.46450;0.46450;0.14364;0.10926;0.02088;0.02088;0.15779;0.14199;0.05010;0.05010;17.96055;20.04062
22;1.39217;2.44644;1.41791;0.70827;0.28000;0.28000;0.28000;0.81875;0.85830;0.28000;0.29000;0.53934;0.59436;0.31000;0.30000;0.08899;0.11832;0.31000;0.24000;0.81960;0.81790;0.81523;0.81523;0.86459;0.88338;0.88719;0.88719;0.56349;0.51717;0.37605;0.37605;0.61176;0.59220;0.46078;0.46078;0.09297;0.08533;0.00939;0.00939;0.11644;0.12145;0.03293;0.03293;19.58431;20.06678
23;1.54585;2.66262;1.29851;0.67373;0.34000;0.34000;0.30000;0.76135;0.81565;0.37000;0.36000;0.43246;0.47031;0.42000;0.36000;0.10325;0.10817;0.52000;0.43000;0.77278;0.75026;0.73204;0.73204;0.81900;0.83594;0.80287;0.80287;0.46420;0.40479;0.27597;0.27597;0.46609;0.48226;0.33052;0.33052;0.13322;0.08429;0.01507;0.01507;0.11314;0.10457;0.03789;0.03789;20.94193;18.46920
24;1.24397;2.47676;1.26119;0.70794;0.22000;0.24000;0.22000;0.77849;0.83590;0.26000;0.26000;0.53859;0.65591;0.29000;0.24000;0.17287;0.22010;0.40000;0.31000;0.79716;0.76067;0.76574;0.76574;0.85087;0.84713;0.85927;0.85927;0.57738;0.50468;0.41369;0.41369;0.65012;0.67511;0.56327;0.56327;0.21955;0.14256;0.05060;0.05060;0.22940;0.21551;0.11599;0.11599;20.44919;19.98449
25;1.46378;1.56929;0.90299;0.87983;0.16000;0.18000;0.16000;0.77686;0.83047;0.20000;0.20000;0.48531;0.59330;0.19000;0.19000;0.13302;0.18357;0.24000;0.19000;0.82553;0.73361;0.74202;0.74202;0.86832;0.81331;0.82351;0.82351;0.50855;0.46410;0.33800;0.33800;0.61363;0.58483;0.46560;0.46560;0.15139;0.11863;0.02362;0.02362;0.18946;0.18095;0.07261;0.07261;19.95887;19.52642
26;1.41831;2.21090;1.26119;0.78790;0.34000;0.36000;0.31000;0.79786;0.85252;0.40000;0.40000;0.53783;0.57041;0.42000;0.41000;0.09622;0.08957;0.53000;0.40000;0.82301;0.77419;0.78144;0.78144;0.86295;0.86361;0.85762;0.85762;0.56393;0.51405;0.39060;0.39060;0.57651;0.57283;0.44198;0.44198;0.11601;0.08221;0.01543;0.01543;0.08989;0.08985;0.03264;0.03264;22.12366;19.12870
27;1.58328;1.93745;1.11194;0.82444;0.15000;0.18000;0.15000;0.72627;0.80687;0.22000;0.22000;0.44905;0.54532;0.26000;0.22000;0.09216;0.11824;0.30000;0.27000;0.77321;0.68470;0.67426;0.67426;0.82659;0.80258;0.78646;0.78646;0.50258;0.40583;0.30190;0.30190;0.55342;0.54505;0.42537;0.42537;0.10845;0.08012;0.01325;0.01325;0.12449;0.11557;0.05070;0.05070;21.79925;18.88183
28;1.46974;2.34362;1.43284;0.74093;0.32000;0.38000;0.41000;0.76581;0.81800;0.46000;0.43000;0.47826;0.54944;0.50000;0.48000;0.09336;0.12131;0.52000;0.52000;0.84635;0.69927;0.73258;0.73258;0.85093;0.80784;0.82439;0.82439;0.54926;0.42352;0.30874;0.30874;0.57285;0.53653;0.41684;0.41684;0.10986;0.08117;0.01289;0.01289;0.12708;0.11753;0.05073;0.05073;22.34337;18.40780
29;1.29165;1.53565;0.91045;0.88837;0.42000;0.43000;0.43000;0.80803;0.84883;0.40000;0.40000;0.54595;0.59235;0.45000;0.40000;0.12606;0.14442;0.43000;0.39000;0.79939;0.81686;0.81538;0.81538;0.84772;0.86702;0.86976;0.86976;0.56805;0.52549;0.38641;0.38641;0.59748;0.59722;0.45199;0.45199;0.12837;0.12383;0.02141;0.02141;0.14541;0.14616;0.04593;0.04593;22.43198;18.63342
30;1.26650;1.19076;0.67164;0.93326;0.23000;0.23000;0.23000;0.82714;0.86885;0.29000;0.28000;0.58027;0.66796;0.39000;0.29000;0.20702;0.25329;0.44000;0.30000;0.85714;0.79917;0.83022;0.83022;0.88591;0.86417;0.88952;0.88952;0.66090;0.51717;0.45020;0.45020;0.68365;0.65918;0.56261;0.56261;0.24747;0.17794;0.06246;0.06246;0.26363;0.24694;0.11955;0.11955;20.42549;18.63978
31;1.33385;2.30185;1.30597;0.75021;0.28000;0.29000;0.28000;0.78318;0.84459;0.36000;0.36000;0.55286;0.64449;0.49000;0.45000;0.14838;0.18679;0.50000;0.40000;0.82414;0.74610;0.75694;0.75694;0.85754;0.85497;0.85078;0.85078;0.66423;0.47347;0.42143;0.42143;0.67739;0.62708;0.55323;0.55323;0.18060;0.12591;0.03532;0.03532;0.19154;0.18488;0.08498;0.08498;21.72573;17.96357
32;1.30921;2.01672;1.35075;0.81313;0.22000;0.22000;0.20000;0.81486;0.85798;0.29000;0.28000;0.59235;0.64118;0.30000;0.29000;0.11163;0.12203;0.35000;0.33000;0.85747;0.77627;0.82335;0.82335;0.86392;0.87426;0.88896;0.88896;0.63420;0.55567;0.46636;0.46636;0.64338;0.65195;0.54454;0.54454;0.12648;0.09990;0.01713;0.01713;0.12814;0.11871;0.04755;0.04755;24.24486;17.83250
33;1.23472;1.47618;0.85075;0.89337;0.23000;0.23000;0.23000;0.83107;0.85450;0.23000;0.23000;0.60593;0.66776;0.26000;0.24000;0.18760;0.23355;0.26000;0.26000;0.83281;0.82934;0.84772;0.84772;0.86058;0.86862;0.89216;0.89216;0.62864;0.58481;0.48826;0.48826;0.68069;0.66389;0.58179;0.58179;0.19463;0.18106;0.05134;0.05134;0.24125;0.22883;0.10795;0.10795;19.89568;19.92084
34;1.37372;1.72341;0.94030;0.88652;0.20000;0.20000;0.16000;0.73122;0.81238;0.25000;0.20000;0.54489;0.62297;0.34000;0.24000;0.15805;0.18487;0.32000;0.32000;0.78589;0.68366;0.71693;0.71693;0.81642;0.82326;0.81973;0.81973;0.67963;0.45473;0.42486;0.42486;0.63844;0.61681;0.53812;0.53812;0.19006;0.13528;0.03977;0.03977;0.19839;0.17640;0.09212;0.09212;19.75593;18.70709
35;1.46840;2.65139;1.47761;0.65804;0.31000;0.31000;0.31000;0.72423;0.78669;0.36000;0.36000;0.47608;0.53002;0.40000;0.36000;0.10087;0.11789;0.41000;0.32000;0.77938;0.67638;0.67089;0.67089;0.80430;0.79109;0.78338;0.78338;0.53359;0.42976;0.31989;0.31989;0.53780;0.53070;0.40481;0.40481;0.11387;0.09053;0.01608;0.01608;0.11694;0.11952;0.04991;0.04991;21.22345;19.48809
36;1.53283;1.99065;1.11194;0.80906;0.16000;0.16000;0.16000;0.70162;0.79154;0.20000;0.19000;0.42665;0.54272;0.23000;0.22000;0.08847;0.13325;0.23000;0.20000;0.73003;0.67534;0.65104;0.65104;0.79381;0.81003;0.77869;0.77869;0.46182;0.39646;0.27129;0.27129;0.55300;0.54216;0.41735;0.41735;0.09576;0.08221;0.00926;0.00926;0.13626;0.13173;0.04445;0.04445;21.35501;19.71329
37;1.28954;3.02601;1.64925;0.59431;0.16000;0.16000;0.12000;0.75280;0.81761;0.21000;0.22000;0.57621;0.66356;0.33000;0.28000;0.19722;0.23776;0.36000;0.29000;0.81378;0.70031;0.72569;0.72569;0.83749;0.82660;0.83976;0.83976;0.71210;0.48387;0.46028;0.46028;0.69314;0.65648;0.60596;0.60596;0.25121;0.16233;0.06678;0.06678;0.25367;0.23324;0.13975;0.13975;19.95083;19.59595
38;1.30761;1.55016;0.91045;0.88449;0.23000;0.23000;0.23000;0.77343;0.83578;0.26000;0.23000;0.51745;0.62196;0.30000;0.22000;0.14072;0.19242;0.30000;0.22000;0.79691;0.75130;0.73085;0.73085;0.82539;0.86308;0.82839;0.82839;0.55332;0.48595;0.36541;0.36541;0.61127;0.64406;0.50283;0.50283;0.15047;0.13215;0.02853;0.02853;0.18918;0.19757;0.07195;0.07195;19.58276;19.84928
39;1.37337;2.20413;1.28358;0.77298;0.27000;0.30000;0.27000;0.76064;0.81620;0.34000;0.34000;0.55168;0.64195;0.55000;0.40000;0.17500;0.21835;0.60000;0.51000;0.77802;0.74402;0.74005;0.74005;0.81327;0.84430;0.82282;0.82282;0.65292;0.47763;0.41988;0.41988;0.64841;0.64687;0.54911;0.54911;0.21909;0.14568;0.04803;0.04803;0.23265;0.21540;0.11271;0.11271;20.61724;20.12072
40;1.25534;1.97560;1.18657;0.83943;0.35000;0.35000;0.35000;0.75255;0.81647;0.35000;0.27000;0.46285;0.57359;0.29000;0.30000;0.11319;0.17693;0.32000;0.30000;0.77716;0.72945;0.73488;0.73488;0.81171;0.85280;0.83714;0.83714;0.44714;0.47971;0.30627;0.30627;0.59610;0.57078;0.44578;0.44578;0.11295;0.11342;0.01671;0.01671;0.18949;0.17374;0.05558;0.05558;20.54382;19.19215
41;1.40538;2.32283;1.29104;0.76003;0.29000;0.32000;0.24000;0.80793;0.86119;0.37000;0.35000;0.48984;0.53655;0.40000;0.37000;0.09178;0.10583;0.56000;0.47000;0.85748;0.76379;0.80494;0.80494;0.87980;0.86694;0.88125;0.88125;0.53514;0.45161;0.33289;0.33289;0.54347;0.53659;0.40060;0.40060;0.11842;0.07492;0.01453;0.01453;0.11376;0.10072;0.04143;0.04143;20.06161;18.74981
42;1.35437;1.75983;1.02985;0.85234;0.27000;0.30000;0.27000;0.83422;0.86378;0.31000;0.31000;0.57289;0.64243;0.39000;0.31000;0.13823;0.14652;0.47000;0.39000;0.85809;0.81165;0.84084;0.84084;0.87703;0.86943;0.88832;0.88832;0.62968;0.52549;0.44529;0.44529;0.64922;0.64433;0.54781;0.54781;0.16766;0.11759;0.03029;0.03029;0.15247;0.14265;0.06365;0.06365;18.99207;17.73526
43;1.33847;2.54658;1.48507;0.71515;0.20000;0.24000;0.18000;0.76029;0.81747;0.28000;0.28000;0.51039;0.56046;0.35000;0.25000;0.14873;0.15299;0.41000;0.24000;0.80394;0.72112;0.73166;0.73166;0.83866;0.83113;0.83006;0.83006;0.57328;0.45994;0.36040;0.36040;0.56438;0.56874;0.43606;0.43606;0.17749;0.12799;0.03453;0.03453;0.15303;0.15433;0.06661;0.06661;21.32360;18.26672
44;1.38670;3.23807;1.91791;0.49064;0.24000;0.24000;0.24000;0.72748;0.78568;0.33000;0.33000;0.51553;0.59058;0.43000;0.38000;0.17335;0.21733;0.48000;0.45000;0.81712;0.65557;0.70714;0.70714;0.83721;0.78676;0.82615;0.82615;0.63945;0.43184;0.36948;0.36948;0.63635;0.57552;0.49306;0.49306;0.22906;0.13944;0.04629;0.04629;0.26693;0.20992;0.11458;0.11458;22.64108;17.97060
45;1.32619;2.09477;1.15672;0.79187;0.20000;0.22000;0.20000;0.75573;0.81991;0.34000;0.32000;0.54729;0.63143;0.39000;0.31000;0.19718;0.23515;0.51000;0.51000;0.84163;0.68574;0.71730;0.71730;0.84927;0.81475;0.82715;0.82715;0.63889;0.47867;0.42011;0.42011;0.64231;0.62918;0.54591;0.54591;0.25624;0.16025;0.06033;0.06033;0.27287;0.22444;0.12987;0.12987;22.35381;17.46425
46;1.34867;1.86484;1.07463;0.84405;0.23000;0.27000;0.17000;0.80788;0.84097;0.31000;0.30000;0.55946;0.61524;0.34000;0.31000;0.16623;0.18509;0.58000;0.34000;0.85219;0.76795;0.81240;0.81240;0.85682;0.84552;0.86141;0.86141;0.60361;0.52133;0.44132;0.44132;0.62446;0.61554;0.52076;0.52076;0.22107;0.13319;0.05635;0.05635;0.18752;0.18467;0.10344;0.10344;21.39462;18.92294
47;1.30186;1.66168;0.97015;0.86933;0.27000;0.25000;0.28000;0.78586;0.83957;0.28000;0.28000;0.50816;0.61288;0.32000;0.30000;0.14837;0.17693;0.41000;0.40000;0.79679;0.77523;0.77608;0.77608;0.84738;0.85056;0.85733;0.85733;0.53250;0.48595;0.36105;0.36105;0.62306;0.61234;0.49165;0.49165;0.17265;0.13007;0.03018;0.03018;0.19035;0.16768;0.07322;0.07322;18.60556;19.21589
48;1.28317;1.42211;0.84328;0.90336;0.21000;0.21000;0.21000;0.83445;0.87395;0.21000;0.23000;0.55771;0.63018;0.33000;0.23000;0.11526;0.14722;0.46000;0.19000;0.82720;0.84183;0.84695;0.84695;0.87046;0.89165;0.90471;0.90471;0.61850;0.50780;0.42779;0.42779;0.62740;0.63997;0.53692;0.53692;0.14725;0.09469;0.01998;0.01998;0.14574;0.14949;0.06530;0.06530;20.36531;19.23918
49;1.52814;2.72632;1.49254;0.68753;0.27000;0.30000;0.20000;0.75283;0.80936;0.40000;0.35000;0.46154;0.48528;0.53000;0.44000;0.08380;0.11120;0.55000;0.55000;0.82690;0.69095;0.72659;0.72659;0.82995;0.82311;0.82803;0.82803;0.55835;0.39334;0.27583;0.27583;0.52037;0.47605;0.34799;0.34799;0.10272;0.07076;0.01176;0.01176;0.15387;0.10763;0.05150;0.05150;21.49167;19.38665
50;1.47797;2.76033;1.47761;0.62852;0.18000;0.22000;0.18000;0.76461;0.82523;0.28000;0.28000;0.51825;0.59505;0.35000;0.32000;0.13468;0.17031;0.41000;0.33000;0.84040;0.70135;0.73171;0.73171;0.85700;0.81914;0.83554;0.83554;0.62372;0.44329;0.36612;0.36612;0.61723;0.58170;0.48702;0.48702;0.17038;0.11134;0.02608;0.02608;0.17415;0.16778;0.07615;0.07615;19.82710;19.55055
