file_name,fold
50-27-0_0-20220524T041419.pcd,3
50-27-0_0-20220525T030449.pcd,4
50-27-0_0-20220527T045102.pcd,0
50-27-0_0-20220530T074538.pcd,2
50-27-0_0-20220531T042054.pcd,1
50-27-0_0-20220601T033109.pcd,3
50-27-0_0-20220602T052138.pcd,2
50-27-0_1-20220523T042520.pcd,1
50-27-0_1-20220524T041419.pcd,4
50-27-0_1-20220525T030449.pcd,0
50-27-0_1-20220527T045102.pcd,4
50-27-0_1-20220530T074538.pcd,1
50-27-0_1-20220531T042054.pcd,2
50-27-0_1-20220601T033109.pcd,0
50-27-0_1-20220602T052138.pcd,3
50-27-0_10-20220523T042520.pcd,4
50-27-0_10-20220524T041419.pcd,2
50-27-0_10-20220525T030449.pcd,3
50-27-0_10-20220527T045102.pcd,0
50-27-0_10-20220530T074538.pcd,1
50-27-0_10-20220531T042054.pcd,0
50-27-0_10-20220601T033109.pcd,1
50-27-0_10-20220602T052138.pcd,4
50-27-0_11-20220524T041419.pcd,3
50-27-0_11-20220525T030449.pcd,2
50-27-0_11-20220527T045102.pcd,4
50-27-0_11-20220531T042054.pcd,0
50-27-0_11-20220601T033109.pcd,2
50-27-0_11-20220602T052138.pcd,3
50-27-0_2-20220530T074538.pcd,1
50-27-0_2-20220531T042054.pcd,4
50-27-0_2-20220601T033109.pcd,1
50-27-0_3-20220523T042520.pcd,3
50-27-0_3-20220524T041419.pcd,2
50-27-0_3-20220525T030449.pcd,0
50-27-0_3-20220527T045102.pcd,4
50-27-0_3-20220530T074538.pcd,2
50-27-0_3-20220531T042054.pcd,0
50-27-0_3-20220601T033109.pcd,1
50-27-0_3-20220602T052138.pcd,3
50-27-0_4-20220523T042520.pcd,3
50-27-0_4-20220524T041419.pcd,0
50-27-0_4-20220525T030449.pcd,4
50-27-0_4-20220527T045102.pcd,2
50-27-0_4-20220530T074538.pcd,1
50-27-0_4-20220531T042054.pcd,1
50-27-0_4-20220601T033109.pcd,3
